"No.","Time","Source","Destination","Protocol","Length","Info"
"2395","24.857064","1.6.3","host","USBCOM","38","URB_BULK in"
"2399","24.861472","1.6.3","host","USBCOM","70","URB_BULK in"
"2403","25.057691","host","1.6.4","USBCOM","28","URB_BULK out"
"2405","25.062076","1.6.3","host","USBCOM","71","URB_BULK in"
"2409","25.065910","1.6.3","host","USBCOM","37","URB_BULK in"
"2415","25.261068","host","1.6.4","USBCOM","28","URB_BULK out"
"2417","25.262529","1.6.3","host","USBCOM","40","URB_BULK in"
"2421","25.266811","1.6.3","host","USBCOM","68","URB_BULK in"
"2425","25.465096","host","1.6.4","USBCOM","28","URB_BULK out"
"2427","25.467426","1.6.3","host","USBCOM","49","URB_BULK in"
"2431","25.471573","1.6.3","host","USBCOM","59","URB_BULK in"
"2437","25.666269","host","1.6.4","USBCOM","28","URB_BULK out"
"2439","25.668046","1.6.3","host","USBCOM","43","URB_BULK in"
"2443","25.672303","1.6.3","host","USBCOM","65","URB_BULK in"
"2449","26.116817","host","1.6.4","USBCOM","28","URB_BULK out"
"2451","26.118561","1.6.3","host","USBCOM","43","URB_BULK in"
"2455","26.122794","1.6.3","host","USBCOM","65","URB_BULK in"
"2459","26.269194","host","1.6.4","USBCOM","28","URB_BULK out"
"2461","26.270032","1.6.3","host","USBCOM","34","URB_BULK in"
"2465","26.274440","1.6.3","host","USBCOM","74","URB_BULK in"
"2469","26.470676","host","1.6.4","USBCOM","28","URB_BULK out"
"2471","26.475186","1.6.3","host","USBCOM","72","URB_BULK in"
"2475","26.478956","1.6.3","host","USBCOM","36","URB_BULK in"
"2479","26.671710","host","1.6.4","USBCOM","28","URB_BULK out"
"2481","26.675764","1.6.3","host","USBCOM","68","URB_BULK in"
"2485","26.679636","1.6.3","host","USBCOM","40","URB_BULK in"
"2489","26.873007","host","1.6.4","USBCOM","28","URB_BULK out"
"2491","26.876422","1.6.3","host","USBCOM","60","URB_BULK in"
"2495","26.880445","1.6.3","host","USBCOM","48","URB_BULK in"
"2499","27.076678","host","1.6.4","USBCOM","28","URB_BULK out"
"2501","27.081288","1.6.3","host","USBCOM","74","URB_BULK in"
"2505","27.085143","1.6.3","host","USBCOM","34","URB_BULK in"
"2509","27.277978","host","1.6.4","USBCOM","28","URB_BULK out"
"2513","27.281947","1.6.3","host","USBCOM","66","URB_BULK in"
"2517","27.285845","1.6.3","host","USBCOM","42","URB_BULK in"
"2535","27.478224","host","1.6.4","USBCOM","28","URB_BULK out"
"2539","27.482672","1.6.3","host","USBCOM","72","URB_BULK in"
"2543","27.486481","1.6.3","host","USBCOM","36","URB_BULK in"
"2563","27.679948","host","1.6.4","USBCOM","28","URB_BULK out"
"2565","27.683258","1.6.3","host","USBCOM","60","URB_BULK in"
"2569","27.687322","1.6.3","host","USBCOM","48","URB_BULK in"
"2573","27.881360","host","1.6.4","USBCOM","28","URB_BULK out"
"2575","27.883909","1.6.3","host","USBCOM","51","URB_BULK in"
"2579","27.888024","1.6.3","host","USBCOM","57","URB_BULK in"
"2583","28.083027","host","1.6.4","USBCOM","28","URB_BULK out"
"2585","28.084537","1.6.3","host","USBCOM","40","URB_BULK in"
"2589","28.088791","1.6.3","host","USBCOM","68","URB_BULK in"
"2593","28.293034","host","1.6.4","USBCOM","28","URB_BULK out"
"2595","28.297826","1.6.3","host","USBCOM","75","URB_BULK in"
"2599","28.301540","1.6.3","host","USBCOM","33","URB_BULK in"
"2603","28.493218","host","1.6.4","USBCOM","28","URB_BULK out"
"2605","28.494041","1.6.3","host","USBCOM","32","URB_BULK in"
"2609","28.498421","1.6.3","host","USBCOM","76","URB_BULK in"
"2631","28.698671","host","1.6.4","USBCOM","28","URB_BULK out"
"2633","28.703218","1.6.3","host","USBCOM","73","URB_BULK in"
"2639","28.707018","1.6.3","host","USBCOM","35","URB_BULK in"
"2683","28.900813","host","1.6.4","USBCOM","28","URB_BULK out"
"2685","28.903780","1.6.3","host","USBCOM","56","URB_BULK in"
"2689","28.907850","1.6.3","host","USBCOM","52","URB_BULK in"
"2709","29.102208","host","1.6.4","USBCOM","28","URB_BULK out"
"2711","29.104446","1.6.3","host","USBCOM","48","URB_BULK in"
"2715","29.108588","1.6.3","host","USBCOM","60","URB_BULK in"
"2721","29.303779","host","1.6.4","USBCOM","28","URB_BULK out"
"2723","29.305089","1.6.3","host","USBCOM","37","URB_BULK in"
